name,bikes,stands
247_AVDA_TRES_CRUCES_MUSICO_AYLLON,2,13
031_CALLE SALAMANCA,16,0
00276 - MARIN REBOUL,10,8
00077 - PLACE INT - SAINT-CYPRIEN,10,1
099_AVDA. BLASCO IBAÑEZ 8,7,14
7142-CORNICHE RAPATRIES,0,15
POGAČARJEV TRG-TRŽNICA,17,1
099 - JUBILE,3,22
6217-ROSTAND - PREFECTURE,0,15
#00089-PLACE THORN,6,10
255_SAN_VICENTE_MARTIR_TOMAS_DE_VILLAROYA,1,17
246_AVDA_TRES_CRUCES_ENTRADA_HOSPITAL_GENERAL,13,7
10111 - CHARLES HERNU,19,1
003_PARQUE LAS LLAMAS,9,11
00137 - BRUNHES - FONTAINES,4,11
NKBM - TRG LEONA ŠTUKLJA,4,16
5040 - PLACE CRÉPU,18,2
54904 - VAU04 - MENDES FRANCE,8,4
7008 - JEAN JAURÈS / GUILLOTIÈRE,8,1
358 - MADOUX,16,9
FITZWILLIAM SQUARE WEST,18,12
CANKARJEVA UL.-NAMA,1,25
002-HÔTEL DE VILLE,13,7
242 - MAISON COMMUNALE D'UCCLE/UKKEL GEMEENTEHUIS,10,15
7024 - BANCEL / CHEVREUL,13,7
41_AVDA. GRAL. URRUTIA,1,19
2023 -  PERRACHE / PETIT,3,15
026_CALLE_SAN_JOSE_DE_CALASANZ,3,12
062-GARE DE NANTES NORD 2,30,10
012_CALLE_MINYANA,20,0
8029 - ETATS-UNIS / LÉVIGNE,16,4
159_FRANCISCO CUBELLS,16,1
255_PERO MINGO,12,18
4004 - HÉNON,0,22
2184-REPUBLIQUE-CATHALA,0,9
00144 - SUISSE - LAUSANE,17,5
043-MACHINE DE L'ÎLE,2,33
27-ŽALIASIS TILTAS,0,0
8061 - STADE VUILLERMET,2,16
134_C/ MAXIMILIANO THOUS,12,8
00040 - COLOMBETTE,4,12
#00033-K. ADENAUER,4,11
1023 - CROIX ROUSSE / PERFETTI,1,19
00025 - PLACE ROUAIX,5,13
058-PALAIS DES SPORTS,7,8
#00085-EINSTEIN,7,6
00074 - LAGANNE - TEINTURIERS,3,15
7003 - GAMBETTA / GARIBALDI,30,10
221_AVENIDA ALCALDE LUIS URUÑUELA,5,10
PORTOBELLO ROAD,10,20
#00017-ROBERT SCHUMAN,1,23
7030 - QUARTIER GENERAL FRERE,26,1
094-PETIT PORT,11,9
#00094-HAMM-COLONIE,10,10
26 - BERSOT,9,1
200 - VETERANS COLONIAUX / KOLONIALE VETERANEN,13,11
00071 - COURS DILLON,9,13
6042 - CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,2,26
ANTONOV TRG,17,3
084-RÉGION,9,13
128_VIRGEN DE LORETO,15,3
031-BOURSE,22,0
#00011-WINSTON CHURCHILL,2,13
00105 - BILLIERE - CHAMPETRE,16,3
179_AVENIDA_DE_LA_PLATA_45,14,9
2013 - CÉLESTINS,22,0
181 - LOUIS TITZ,22,3
158 - VAN YSENDIJCK,14,9
235_CONDE_DE_TORREFIEL_CECILIO_PLA,1,14
00064 - PERI - MERCADIER,7,17
3086 - FEUILLAT / LACASSAGNE,2,14
PRUŠNIKOVA,5,15
8025 - DUMONT / JOUVET,0,17
3050 - FRICHE RVI,7,13
161 - DEMOLDER,20,5
